FID,BTAWithin100m,BTAWithin100mWithAmenityData,BTAWithin100mWithNameData,BTAWithin100mWithReligionData,BTAWithin100mWithWebsiteData,BTAWithin225m,BTAWithin225mWithAmenityData,BTAWithin225mWithNameData,BTAWithin225mWithReligionData,BTAWithin225mWithWebsiteData,BTAWithin25m,BTAWithin25mWithAmenityData,BTAWithin25mWithNameData,BTAWithin400m,BTAWithin400mWithAmenityData,BTAWithin400mWithNameData,BTAWithin400mWithReligionData,BTAWithin400mWithWebsiteData,BTAWithin625m,BTAWithin625mWithAmenityData,BTAWithin625mWithNameData,BTAWithin625mWithReligionData,BTAWithin625mWithWebsiteData,BuildingsWithin100m,BuildingsWithin100mWithAmenityData,BuildingsWithin100mWithNameData,BuildingsWithin100mWithReligionData,BuildingsWithin100mWithWebsiteData,BuildingsWithin225m,BuildingsWithin225mWithAmenityData,BuildingsWithin225mWithNameData,BuildingsWithin225mWithReligionData,BuildingsWithin225mWithWebsiteData,BuildingsWithin25m,BuildingsWithin400m,BuildingsWithin400mWithAmenityData,BuildingsWithin400mWithNameData,BuildingsWithin400mWithReligionData,BuildingsWithin400mWithWebsiteData,BuildingsWithin625m,BuildingsWithin625mWithAmenityData,BuildingsWithin625mWithNameData,BuildingsWithin625mWithReligionData,BuildingsWithin625mWithWebsiteData,END_DAY_0,END_MONTH_0,END_TIME_0,END_TIME_1,START_DAY_1,START_TIME_0,START_TIME_1,VF_PLATSER_0,END_TIME_0_nan_mask,START_TIME_0_nan_mask,START_WEEKDAY_0_nan_mask,VEHICLE_0_nan_mask,VF_PLATS_TYP_0_nan_mask
30872253,42825.0,0.0,0.0,0.0,0.0,171216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730200.0,4233.0,24407.0,4233.0,0.0,1651700.0,8016.0,61978.0,8016.0,0.0,2,0,0,0,0,12,0,0,0,0,0,42,1,2,1,0,129,3,7,3,0,0,0,0,0,0,600,0,0,1,1,1,1,1
30872254,58014.0,0.0,0.0,0.0,0.0,227440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855030.0,4233.0,24407.0,4233.0,0.0,1822723.0,9444.0,211348.0,8016.0,18060.0,4,0,0,0,0,11,0,0,0,0,0,47,1,2,1,0,147,4,9,3,1,0,0,0,0,0,600,0,0,1,1,1,1,1
30872255,72189.0,0.0,0.0,0.0,0.0,294014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948816.0,3783.0,48305.0,3783.0,18060.0,1792957.0,5211.0,183849.0,3783.0,18060.0,4,0,0,0,0,18,0,0,0,0,0,60,2,4,2,1,147,3,9,2,1,0,0,0,0,0,600,0,0,1,1,1,1,1
30872461,18321.0,5460.0,0.0,0.0,0.0,71916.0,13782.0,0.0,0.0,0.0,0.0,0.0,0.0,214121.0,13782.0,384.0,0.0,0.0,548225.0,37428.0,17415.0,0.0,0.0,11,2,0,0,0,64,5,0,0,0,0,249,5,1,0,0,665,9,5,0,0,15,5,800,0,16,1600,0,0,1,1,1,1,1
30872462,34080.0,0.0,0.0,0.0,0.0,135738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324859.0,8784.0,18411.0,0.0,18060.0,976073.0,9480.0,97217.0,696.0,26436.0,3,0,0,0,0,15,0,0,0,0,0,47,2,2,0,1,110,3,8,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1
30872463,30075.0,0.0,0.0,0.0,0.0,154822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383159.0,3954.0,52330.0,3954.0,6556.0,983007.0,55194.0,280890.0,3954.0,120352.0,3,0,0,0,0,26,0,0,0,0,0,61,1,9,1,1,115,2,22,1,2,0,0,0,0,0,600,0,0,1,1,1,1,1
30872464,30468.0,0.0,0.0,0.0,0.0,127632.0,0.0,3258.0,0.0,0.0,0.0,0.0,0.0,510325.0,0.0,23994.0,0.0,0.0,1074539.0,0.0,118519.0,0.0,283.0,5,0,0,0,0,37,0,2,0,0,0,137,0,4,0,0,271,0,14,0,1,15,8,0,0,16,0,600,43,0,0,0,1,1
30872465,30468.0,0.0,0.0,0.0,0.0,127632.0,0.0,3258.0,0.0,0.0,0.0,0.0,0.0,510325.0,0.0,23994.0,0.0,0.0,1074539.0,0.0,118519.0,0.0,283.0,5,0,0,0,0,37,0,2,0,0,0,137,0,4,0,0,271,0,14,0,1,14,6,0,0,15,600,0,43,1,1,1,1,1
30872466,22881.0,0.0,3441.0,0.0,0.0,108139.0,0.0,28140.0,0.0,0.0,9584.0,0.0,0.0,319140.0,0.0,70803.0,0.0,0.0,822157.0,0.0,185079.0,0.0,0.0,5,0,1,0,0,33,0,10,0,0,1,100,0,28,0,0,203,0,34,0,0,31,10,0,900,1,0,1400,22,0,0,0,1,1
30872467,22881.0,0.0,3441.0,0.0,0.0,108139.0,0.0,28140.0,0.0,0.0,9584.0,0.0,0.0,319140.0,0.0,70803.0,0.0,0.0,822157.0,0.0,185079.0,0.0,0.0,5,0,1,0,0,33,0,10,0,0,1,100,0,28,0,0,203,0,34,0,0,31,10,900,0,1,1400,0,22,1,1,1,1,1
