FID,BuildingsWithin25m,BTAWithin25m,BuildingsWithin25mWithamenityData,BTAWithin25mWithamenityData,BuildingsWithin25mWithnameData,BTAWithin25mWithnameData,BuildingsWithin25mWithwebsiteData,BTAWithin25mWithwebsiteData,BuildingsWithin25mWithreligionData,BTAWithin25mWithreligionData,BuildingsWithin100m,BTAWithin100m,BuildingsWithin100mWithamenityData,BTAWithin100mWithamenityData,BuildingsWithin100mWithnameData,BTAWithin100mWithnameData,BuildingsWithin100mWithwebsiteData,BTAWithin100mWithwebsiteData,BuildingsWithin100mWithreligionData,BTAWithin100mWithreligionData,BuildingsWithin225m,BTAWithin225m,BuildingsWithin225mWithamenityData,BTAWithin225mWithamenityData,BuildingsWithin225mWithnameData,BTAWithin225mWithnameData,BuildingsWithin225mWithwebsiteData,BTAWithin225mWithwebsiteData,BuildingsWithin225mWithreligionData,BTAWithin225mWithreligionData,BuildingsWithin400m,BTAWithin400m,BuildingsWithin400mWithamenityData,BTAWithin400mWithamenityData,BuildingsWithin400mWithnameData,BTAWithin400mWithnameData,BuildingsWithin400mWithwebsiteData,BTAWithin400mWithwebsiteData,BuildingsWithin400mWithreligionData,BTAWithin400mWithreligionData,BuildingsWithin625m,BTAWithin625m,BuildingsWithin625mWithamenityData,BTAWithin625mWithamenityData,BuildingsWithin625mWithnameData,BTAWithin625mWithnameData,BuildingsWithin625mWithwebsiteData,BTAWithin625mWithwebsiteData,BuildingsWithin625mWithreligionData,BTAWithin625mWithreligionData
30876941,1,5505,0,0,0,0,0,0,0,0,9,51000,0,0,0,0,0,0,0,0,52,210848,1,2625,10,25378,0,0,1,2625,145,499454,4,16941,52,132831,3,14316,4,16941,208,1016399,7,66367,72,308849,5,90368,5,21375
30877117,0,0,0,0,0,0,0,0,0,0,6,5445,0,0,1,324,0,0,0,0,75,46293,0,0,2,576,1,252,0,0,269,117879,1,516,3,1092,1,252,0,0,515,200658,2,2259,6,5445,2,2619,1,1743
30877118,2,1896,0,0,0,0,0,0,0,0,9,15212,0,0,0,0,0,0,0,0,37,71175,0,0,4,9565,0,0,0,0,88,198657,0,0,10,36544,0,0,0,0,119,263304,0,0,11,36967,0,0,0,0
30877119,2,1917,0,0,0,0,0,0,0,0,7,14955,0,0,0,0,0,0,0,0,24,50520,0,0,0,0,0,0,0,0,79,176586,0,0,6,12626,2,4646,0,0,149,482798,0,0,9,50887,2,4646,0,0
30877128,0,0,0,0,0,0,0,0,0,0,3,12525,0,0,0,0,0,0,0,0,21,197998,3,30994,3,39037,1,27928,0,0,97,497692,5,35650,3,39037,1,27928,0,0,201,701376,6,35788,4,39175,1,27928,0,0
30877129,2,1233,0,0,0,0,0,0,0,0,31,20505,0,0,0,0,0,0,0,0,118,96645,0,0,0,0,0,0,0,0,213,214731,2,6429,3,9858,0,0,2,6429,325,310068,3,6921,5,10965,0,0,2,6429
30877316,0,0,0,0,0,0,0,0,0,0,6,8256,0,0,0,0,0,0,0,0,32,61206,0,0,1,13116,0,0,0,0,132,215259,3,4992,1,13116,0,0,0,0,291,347800,3,4992,1,13116,0,0,0,0
30877527,0,0,0,0,0,0,0,0,0,0,4,88159,0,0,3,67621,1,55161,0,0,25,501160,1,3864,8,112505,1,55161,1,3864,92,1291674,4,12279,39,380345,12,292056,4,12279,144,2120681,6,72649,55,604856,16,414517,4,12279
30876952,0,0,0,0,0,0,0,0,0,0,9,33596,0,0,0,0,0,0,0,0,47,146747,0,0,1,1610,0,0,0,0,119,355571,0,0,2,6977,0,0,0,0,174,821262,0,0,3,34787,0,0,0,0
30876953,1,10178,0,0,0,0,0,0,0,0,10,54473,0,0,0,0,0,0,0,0,53,155744,0,0,1,1610,0,0,0,0,123,434721,0,0,2,6977,0,0,0,0,176,849902,0,0,3,34787,0,0,0,0
30876954,0,0,0,0,0,0,0,0,0,0,2,84780,0,0,0,0,0,0,0,0,15,266331,0,0,0,0,0,0,0,0,34,527435,0,0,0,0,0,0,0,0,60,882408,1,4233,1,4233,0,0,1,4233
30876955,0,0,0,0,0,0,0,0,0,0,7,26816,0,0,1,9054,1,9054,0,0,41,72145,1,381,3,10727,1,9054,0,0,146,227791,2,1950,6,30115,2,10623,0,0,270,369107,2,1950,6,30115,2,10623,0,0
30877140,0,0,0,0,0,0,0,0,0,0,5,19380,0,0,0,0,0,0,0,0,31,363362,1,3102,2,3221,0,0,1,3102,83,867095,5,11124,8,18318,0,0,3,10725,156,1646376,6,11968,16,36723,3,10100,3,10725
30877141,0,0,0,0,0,0,0,0,0,0,4,57603,0,0,0,0,0,0,0,0,17,275044,1,4233,1,4233,0,0,1,4233,47,622220,1,4233,1,4233,0,0,1,4233,78,1290680,1,4233,1,4233,0,0,1,4233
30877142,0,0,0,0,0,0,0,0,0,0,5,76890,0,0,0,0,0,0,0,0,16,240670,1,4233,1,4233,0,0,1,4233,50,679904,1,4233,1,4233,0,0,1,4233,86,1385138,1,4233,1,4233,0,0,1,4233
30877339,1,480,0,0,0,0,0,0,0,0,27,12795,0,0,0,0,0,0,0,0,168,57129,0,0,0,0,0,0,0,0,411,163830,0,0,1,927,0,0,0,0,644,295086,1,2361,2,3288,1,2361,1,2361
